,link,enum,tags,Duration,Views,Posted On,Director,Writer,Studio,Release,Cast,Song1,Artist1,Song2,Artist2,Song3,Artist3,Song4,Artist4,Song5,Artist5,Song6,Artist6
1847,/hellboy-ii-golden-army/trailer,1847,Universal Pictures|Franchise/Epic/Trilogy|Action|Adventure|Fantasy|Comicbook|Ron Perlman|Selma Blair|Luke Goss,2 min 15 sec,"309,898",20-Dec-07,Guillermo del Toro,Guillermo del Toro,Universal Pictures,11-Jul-08,Ron Perlman;Selma Blair;Luke Goss;Thomas Kretschmann;Doug Jones,Mein Herz Brennt,Rammstein,,,,,,,,,,
1853,/the-dark-knight/trailer,1853,Warner Bros. Pictures|Comicbook|Action|Christian Bale|Morgan Freeman|Michael Caine|Heath Ledger|Maggie Gyllenhaal|Gary Oldman,2 min 7 sec,"386,575",16-Dec-07,Christopher Nolan,Christopher Nolan,Warner Bros Pictures,18-Jul-08,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Gary Oldman,Vespertilio (Batman Begins OST),"Hans Zimmer, James Newton Howard",Molossus (Batman Begins OST),"Hans Zimmer, James Newton Howard",,,,,,,,
1854,/the-dark-knight/teaser-trailer,1854,Warner Bros. Pictures|Comicbook|Franchise/Epic/Trilogy|Action|Fantasy|Thriller,0 min 55 sec,"43,408",29-Oct-07,Christopher Nolan,Christopher Nolan,Warner Bros Pictures,18-Jul-08,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Gary Oldman,Molossus (Batman Begins OST),"Hans Zimmer, James Newton Howard",,,,,,,,,,
1855,/step-brothers/trailer,1855,Columbia Pictures|Comedy|Will Ferrell|John C. Reilly|Richard Jenkins|Mary Steenburgen,2 min 35 sec,"99,300",28-Feb-08,Adam McKay,Will Ferrell,Columbia Pictures,25-Jul-08,Will Ferrell;John C. Reilly;Richard Jenkins;Mary Steenburgen;Adam Scott,North American Scum,LCD Soundsystem,You Make My Dreams Come True,Hall & Oates,,,,,,,,
1858,/mummy-tomb-dragon-emperor/trailer,1858,Universal Pictures|Franchise/Epic/Trilogy|Action|Adventure|Fantasy|Brendan Fraser|Maria Bello|Jet Li|John Hannah|Michelle Yeoh|Anthony Wong|Luke Ford|Isabella Leong,2 min 29 sec,"421,149",20-Jun-08,Rob Cohen,Alfred Gough,Universal Pictures,1-Aug-08,Brendan Fraser;Maria Bello;Jet Li;John Hannah;Michelle Yeoh,Voices of War,X-Ray Dog,DNA Reactor,Pfeifer Broz. Music,,,,,,,,
1859,/mummy-tomb-dragon-emperor/teaser-trailer,1859,Universal Pictures|Franchise/Epic/Trilogy|Action|Adventure|Fantasy|Brendan Fraser|Maria Bello|Jet Li|John Hannah|Michelle Yeoh|Anthony Wong|Luke Ford|Isabella Leong|Teaser,1 min 56 sec,"120,646",16-May-08,Rob Cohen,Alfred Gough,Universal Pictures,1-Aug-08,Brendan Fraser;Maria Bello;Jet Li;John Hannah;Michelle Yeoh,Voices of War,X-Ray Dog,DNA Reactor,Pfeifer Broz. Music,,,,,,,,
1863,/pineapple-express/trailer,1863,Columbia Pictures|Comedy|Seth Rogen|James Franco|Gary Cole|Rosie Perez|Danny R. McBride|Amber Heard|James Remar,2 min 30 sec,"250,304",13-Mar-08,David Gordon Green,Seth Rogen,Columbia Pictures,6-Aug-08,Seth Rogen;James Franco;Danny R. McBride;Gary Cole;Rosie Perez,Paper Planes,M.I.A.,,,,,,,,,,
1865,/tropic-thunder/trailer,1865,"DreamWorks Pictures|Comedy|Ben Stiller|Jack Black|Robert Downey, Jr.|Nick Nolte|Danny R. McBride|Brandon T. Jackson|Jay Baruchel",2 min 30 sec,"123,247",17-Mar-08,Ben Stiller,Ben Stiller,DreamWorks Pictures,13-Aug-08,Ben Stiller;Jack Black;Robert Downey;Jr.;Nick Nolte,For What It's Worth,Buffalo Springfield,War,Edwin Starr,Name of the Game,The Crystal Method,Gimme Some Lovin,Spencer Davis Group,,,,
1876,/the-house-bunny/trailer,1876,Columbia Pictures|Comedy|Anna Faris|Colin Hanks|Emma Stone|Kat Dennings|Katharine McPhee|Beverly D'Angelo,2 min 32 sec,"275,259",10-Apr-08,Fred Wolf,Karen McCullah Lutz,Columbia Pictures,22-Aug-08,Anna Faris;Colin Hanks;Emma Stone;Kat Dennings;Dana Goodman,You and Your Hand,Pink,Do It Well,Jennifer Lopez,,,,,,,,
1928,/w/trailer,1928,Lionsgate|Biopic|Drama|Comedy|Josh Brolin|Elizabeth Banks|Jeffrey Wright|Thandie Newton|Richard Dreyfuss|James Cromwell|Scott Glenn|Bruce McGill,1 min 17 sec,"296,045",24-Sep-08,Oliver Stone,Stanley Weiser,Lionsgate,17-Oct-08,Josh Brolin;Elizabeth Banks;Jeffrey Wright;Thandie Newton;Richard Dreyfuss,Once In A Lifetime,Talking Heads,,,,,,,,,,
1929,/w/teaser-trailer,1929,Lionsgate|Biopic|Drama|Comedy|Josh Brolin|Elizabeth Banks|Jeffrey Wright|Thandie Newton|Richard Dreyfuss,1 min 34 sec,"493,534",27-Jul-08,Oliver Stone,Stanley Weiser,Lionsgate,17-Oct-08,Josh Brolin;Elizabeth Banks;Jeffrey Wright;Thandie Newton;Richard Dreyfuss,What a Wonderful World,Eddy Arnold,"One Bourbon, One Scotch, One Beer",George Thorogood,,,,,,,,
