,link,enum,tags,Duration,Views,Posted On,Director,Writer,Studio,Release,Cast,Song1,Artist1,Song2,Artist2,Song3,Artist3,Song4,Artist4,Song5,Artist5,Song6,Artist6
3204,/edge-of-tomorrow/trailer,3204,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt|Bill Paxton|Kick Gurry|Dragomir Mrsic|Charlotte Riley|Jonas Armstrong|Franz Drameh,2 min 31 sec,"944,562",11-Dec-13,Doug Liman,Hiroshi Sakurazaka,Warner Bros Pictures,6-Jun-14,Tom Cruise;Emily Blunt;Bill Paxton;Kick Gurry;Dragomir Mrsic,This is Not the End,Fieldwork,,,,,,,,,,
3225,/planes-fire-rescue/trailer,3225,Walt Disney Pictures|CG Animation|Adventure|Comedy|Family|Dane Cook|Julie Bowen|Ed Harris|Regina King|Jerry Stiller|Fred Willard,2 min 30 sec,"63,599",8-Apr-14,Roberts Gannaway,Jeffrey M. Howard,Walt Disney Pictures,18-Jul-14,Julie Bowen;Jerry Stiller;Ed Harris;Dane Cook;Regina King,Thunderstruck,AC/DC,,,,,,,,,,
3231,/hercules-2014/feature-trailer,3231,Metro Goldwyn Mayer (MGM)|Paramount Pictures|Action|Adventure|Fantasy|Dwayne Johnson|Ian Mcshane|Joseph Fiennes|John Hurt|Rufus Sewell|Peter Mullan|Ingrid Bolsø Berdal|Aksel Hennie|Reece Ritchie,2 min 26 sec,"459,230",3-Jun-14,Brett Ratner,Ryan Condal,MGM,25-Jul-14,Dwayne Johnson;Ian McShane;Joseph Fiennes;John Hurt;Rufus Sewell,No one Knows,Queens of the Stone Age,,,,,,,,,,
3234,/wish-i-was-here/feature-trailer,3234,Focus Features|Comedy|Drama|Zach Braff|Kate Hudson|Mandy Patinkin|Josh Gad|Ashley Greene|Joey King|Pierce Gagnon|Donald Faison|Jim Parsons,2 min 32 sec,"152,383",19-May-14,Zach Braff,Zach Braff,Focus Features,18-Jul-14,Zach Braff;Kate Hudson;Mandy Patinkin;Josh Gad;Ashley Greene,The Mute,Radical Face,,,,,,,,,,
3235,/wish-i-was-here/trailer,3235,Focus Features|Comedy|Drama|Zach Braff|Kate Hudson|Mandy Patinkin|Josh Gad|Ashley Greene|Joey King|Pierce Gagnon|Donald Faison,1 min 40 sec,"126,252",9-Apr-14,Zach Braff,Zach Braff,Focus Features,18-Jul-14,Zach Braff;Kate Hudson;Mandy Patinkin;Josh Gad;Ashley Greene,Simple Song,The Shins,,,,,,,,,,
3239,/guardians-of-the-galaxy/teaser-trailer,3239,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Adventure|Sci Fi|Teaser|Chris Pratt|Dave Bautista|Zoë Saldaña|Michael Rooker|Ophelia Lovibond|Lee Pace|Glenn Close|Karen Gillan|Benicio Del Toro|John C. Reilly|Djimon Hounsou,1 min 1 sec,"55,373",12-Apr-14,James Gunn,Dan Abnett,Marvel Studios,1-Aug-14,Chris Pratt;Dave Bautista;Zoe Saldana;Michael Rooker;Vin Diesel,Hooked on a Feeling,Blue Swede,,,,,,,,,,
3240,/guardians-of-the-galaxy/trailer,3240,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Adventure|Sci Fi|Chris Pratt|Dave Bautista|Zoë Saldaña|Michael Rooker|Ophelia Lovibond|Lee Pace|Glenn Close|Karen Gillan|Benicio Del Toro|John C. Reilly|Djimon Hounsou,2 min 31 sec,"1,324,205",18-Feb-14,James Gunn,Dan Abnett,Marvel Studios,1-Aug-14,Chris Pratt;Dave Bautista;Zoe Saldana;Michael Rooker;Vin Diesel,Hooked on a Feeling,Blue Swede,,,,,,,,,,
3247,/the-hundred-foot-journey/trailer,3247,DreamWorks Pictures|Comedy|Drama|Helen Mirren|Manish Dayal|Om Puri|Charlotte Le Bon,2 min 37 sec,"117,566",14-May-14,Lasse Hallström,Steve Knight,DreamWorks Pictures,8-Aug-14,Helen Mirren;Manish Dayal;Om Puri;Charlotte Le Bon,Ocean Dreams,PostHaste Music,Lexicon,PostHaste Music,,,,,,,,
3257,/if-i-stay/feature-trailer,3257,Warner Bros. Pictures|Metro Goldwyn Mayer (MGM)|Book|Drama|Chloë Grace Moretz|Mireille Enos|Jamie Blackley|Stacy Keach|Joshua Leonard,2 min 22 sec,"705,525",23-Jul-14,R.J. Cutler,Shauna Cross,Warner Bros Pictures,22-Aug-14,Chloe Grace Moretz;Mireille Enos;Jamie Blackley;Joshua Leonard;Stacy Keach,Say Something,A Great Big World,,,,,,,,,,
3258,/if-i-stay/trailer,3258,Warner Bros. Pictures|Metro Goldwyn Mayer (MGM)|Drama|Chloë Grace Moretz|Mireille Enos|Jamie Blackley,2 min 34 sec,"149,234",16-Apr-14,R.J. Cutler,Shauna Cross,Warner Bros Pictures,22-Aug-14,Chloe Grace Moretz;Mireille Enos;Jamie Blackley;Joshua Leonard;Stacy Keach,Say Something,A Great Big World,,,,,,,,,,
3284,/gone-girl/trailer,3284,20th Century Fox|Drama|Thriller|Book|Ben Affleck|Rosamund Pike|Missi Pyle|Tyler Perry|Kim Dickens|Patrick Fugit|Sela Ward|Kathleen Rose Perkins,1 min 38 sec,"459,276",14-Apr-14,David Fincher,Gillian Flynn,20th Century Fox,3-Oct-14,Ben Affleck;Rosamund Pike;Neil Patrick Harris;Tyler Perry;Kim Dickens,She,Richard Butler,,,,,,,,,,
3289,/dracula-untold/trailer,3289,Universal Pictures|Action|Drama|Fantasy|Luke Evans|Sarah Gadon|Dominic Cooper|Samantha Barks|Diarmaid Murtagh|Charles Dance,2 min 36 sec,"450,810",27-Jun-14,Gary Shore,Matt Sazama,Universal Pictures,17-Oct-14,Luke Evans;Sarah Gadon;Dominic Cooper;Diarmaid Murtagh;Samantha Barks,Everybody Wants To Rule The World,Lorde,,,,,,,,,,
3305,/interstellar/trailer,3305,Paramount Pictures|Sci Fi|Matthew McConaughey|Anne Hathaway|Jessica Chastain|Ellen Burstyn|John Lithgow|Michael Caine|Casey Affleck|Wes Bentley|Mackenzie Foy|David Gyasi|Action|Adventure,2 min 19 sec,"1,249,040",16-May-14,Christopher Nolan,Jonathan Nolan,Paramount Pictures,7-Nov-14,Matthew McConaughey;Anne Hathaway;Jessica Chastain;Ellen Burstyn;John Lithgow,Evey Reborn,V for Vendetta OST,,,,,,,,,,
3313,/horrible-bosses-2/teaser-trailer,3313,Warner Bros. Pictures|New Line Cinema|New Line Cinema|Comedy|Franchise/Epic/Trilogy|Teaser|Jason Bateman|Charlie Day|Jason Sudeikis|Jennifer Aniston|Jamie Foxx|Kevin Spacey,1 min 33 sec,"174,419",1-Jul-14,Sean Anders,Sean Anders,Warner Bros Pictures,26-Nov-14,Jason Bateman;Charlie Day;Jason Sudeikis;Jennifer Aniston;Jamie Foxx,Shots,LMFAO ft. Lil Jon,,,,,,,,,,
3325,/annie-2014/feature-trailer,3325,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,2 min 4 sec,"73,396",29-May-14,Will Gluck,Aline Brosh McKenna,Sony Pictures,19-Dec-14,Jamie Foxx;Quvenzhané Wallis;Rose Byrne;Bobby Cannavale;Adewale Akinnuoye-Agbaje,Hard Knock Life,Jay Z,,,,,,,,,,
3326,/annie-2014/trailer,3326,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,2 min 27 sec,"119,909",5-Mar-14,Will Gluck,Aline Brosh McKenna,Sony Pictures,19-Dec-14,Jamie Foxx;Quvenzhané Wallis;Rose Byrne;Bobby Cannavale;Adewale Akinnuoye-Agbaje,Hard Knock Life,Jay Z,,,,,,,,,,
3334,/the-gambler-2015/trailer,3334,Paramount Pictures|Crime|Thriller|Mark Wahlberg|John Goodman|Brie Larson|Michael Kenneth Williams|Jessica Lange,2 min 26 sec,"793,781",5-Nov-14,Rupert Wyatt,William Monahan,Paramount Pictures,1-Jan-15,Mark Wahlberg;John Goodman;Brie Larson;Michael Kenneth Williams;Jessica Lange,Gimme Shelter,The Rolling Stones,,,,,,,,,,
3341,/inherent-vice/trailer,3341,Warner Bros. Pictures|Crime|Mystery|Book|Joaquin Phoenix|Josh Brolin|Owen Wilson|Katherine Waterston|Reese Witherspoon|Benicio Del Toro|Martin Short|Jena Malone|Joanna Newsom|Michael K. Williams,2 min 7 sec,"363,816",29-Sep-14,Paul Thomas Anderson,Paul Thomas Anderson,Warner Bros Pictures,9-Jan-15,Joaquin Phoenix;Josh Brolin;Owen Wilson;Katherine Waterston;Reese Witherspoon,I Want To Take You Higher,Sly & The Family Stone,Wonderful World,Sam Cooke,,,,,,,,
3363,/the-loft/trailer,3363,Open Road Films|Thriller|Suspense|Karl Urban|James Marsden|Wentworth Miller|Eric Stonestreet|Matthias Schoenaerts|Rachael Taylor|Rhona Mitra|Valerie Cruz|Isabel Lucas,2 min 20 sec,"745,730",15-Dec-14,Erik Van Looy,Bart De Pauw,Open Road Films,23-Jan-15,Karl Urban;James Marsden;Wentworth Miller;Eric Stonestreet;Matthias Schoenaerts,Until We Go Down,Maggie Eckford,,,,,,,,,,
3370,/fifty-shades-of-grey/trailer,3370,Focus Features|Book|Drama|Romance|Jamie Dornan|Dakota Johnson,2 min 23 sec,"680,155",24-Jul-14,Sam Taylor-Johnson,E.L. James,Focus Features,13-Feb-15,Jamie Dornan;Dakota Johnson;Jennifer Ehle;Luke Grimes;Marcia Gay Harden,Crazy in Love,Beyonce,,,,,,,,,,
3375,/hot-tub-time-machine-2/feature-trailer,3375,Metro Goldwyn Mayer (MGM)|Comedy|Sci Fi|Adventure|Rob Corddry|Craig Robinson|Clark Duke|Adam Scott|Chevy Chase|Collette Wolfe|Gillian Jacobs,1 min 32 sec,"628,298",22-Jan-15,Steve Pink,Steve Pink,MGM,20-Feb-15,Rob Corddry;Craig Robinson;Clark Duke;Adam Scott;Chevy Chase,20th Century Boy,Placebo,,,,,,,,,,
3378,/mcfarland-usa/trailer,3378,Walt Disney Pictures|Drama|Sport|Kevin Costner|Maria Bello|Morgan Saylor|Martha Higareda|Michael Aguero|Sergio Avelar|Hector Duran|Rafael Martinez|Johnny Ortiz|Carlos Pratts|Ramiro Rodriguez|Danny Mora|Valente Rodriguez|Vanessa Martinez|Chris Ellis,2 min 58 sec,"211,470",4-Nov-14,Niki Caro,Christopher Cleveland,Walt Disney Pictures,20-Feb-15,Kevin Costner;Maria Bello;Morgan Saylor;Martha Higareda;Michael Aguero,Where the Streets Have No Name,U2,,,,,,,,,,
3383,/focus-2014/trailer,3383,Warner Bros. Pictures|Comedy|Crime|Romance|Margot Robbie|Will Smith|Rodrigo Santoro|BD Wong|Gerald McRaney|Robert Taylor|Adrian Martinez|Brennan Brown,2 min 19 sec,"448,429",9-Oct-14,Glenn Ficarra,Glenn Ficarra,Warner Bros Pictures,27-Feb-15,Margot Robbie;Will Smith;Rodrigo Santoro;BD Wong;Gerald McRaney,Sway,Dean Martin,Bad Religion,Frank Ocean,,,,,,,,
3410,/paul-blart-mall-cop-2/trailer,3410,Sony Pictures|Comedy|Franchise/Epic/Trilogy|Kevin James|Molly Shannon|David Henrie|Raini Rodriguez|Eduardo Verástegui|Nicholas Turturro|Gary Valentine|Neal McDonough|Shirley Knight,2 min 42 sec,"296,973",13-Nov-14,Andy Fickman,Nick Bakay,Sony Pictures,17-Apr-15,Kevin James;Molly Shannon;David Henrie;Raini Rodriguez;Eduardo Verastegui,Detroit Rock City,KISS,,,,,,,,,,
3413,/while-were-young/trailer,3413,A24|Comedy|Drama|Ben Stiller|Naomi Watts|Adam Driver|Amanda Seyfried|Adam Horovitz|Charles Grodin,2 min 34 sec,"278,318",4-Dec-14,Noah Baumbach,Noah Baumbach,A24,27-Mar-15,Ben Stiller;Naomi Watts;Adam Driver;Amanda Seyfried;Adam Horovitz,Let 'Em In,Paul McCartney,,,,,,,,,,
3438,/entourage/trailer,3438,Warner Bros. Pictures|Comedy|Television|Billy Bob Thornton|Jeremy Piven|Nora Dunn|Emmanuelle Chriqui|Kevin Dillon|Debi Mazar|Adrian Grenier|Jerry Ferrara|Rhys Coiro|Kevin Connolly|Haley Joel Osment|Constance Zimmer|Perrey Reeves|Emily Ratajkowski|Rex Lee,2 min 24 sec,"878,840",23-Dec-14,Doug Ellin,Doug Ellin,Warner Bros Pictures,3-Jun-15,Billy Bob Thornton;Jeremy Piven;Nora Dunn;Emmanuelle Chriqui;Kevin Dillon,Osaka Trade,Flying Lotus,Trouble,Ethel and the Chordtones,,,,,,,,
3448,/inside-out-2015/teaser-trailer,3448,Walt Disney Pictures|Pixar Animation|Family|CG Animation|Teaser|Amy Poehler|Mindy Kaling|Bill Hader|Phyllis Smith|Lewis Black,1 min 42 sec,"143,617",2-Oct-14,Pete Docter,Pete Docter,Disney Pixar,19-Jun-15,Amy Poehler;Mindy Kaling;Bill Hader;Phyllis Smith;Lewis Black,Sweet Emotion,Aerosmith,,,,,,,,,,
3459,/terminator-genisys/trailer,3459,Paramount Pictures|Action|Adventure|Sci Fi|Franchise/Epic/Trilogy|Arnold Schwarzenegger|Emilia Clarke|Jai Courtney|Jason Clarke,2 min 32 sec,"1,557,335",4-Dec-14,Alan Taylor,Patrick Lussier,Paramount Pictures,1-Jul-15,Arnold Schwarzenegger;Emilia Clarke;Jai Courtney;Jason Clarke;Matt Smith,I'd Love to Change the World,Jetta,,,,,,,,,,
3463,/the-gallows/trailer,3463,Warner Bros. Pictures|Horror|Paranormal|Thriller|Cassidy Gifford|Ryan Shoos|Reese Mishler|Pfeifer Brown,2 min 19 sec,"392,669",21-May-15,Chris Lofing,Chris Lofing,Warner Bros Pictures,10-Jul-15,Cassidy Gifford;Ryan Shoos;Reese Mishler;Pfeifer Brown,Teen Spirit,Think Up Anger,,,,,,,,,,
3479,/black-panther-2018/teaser-trailer,3479,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Sci Fi|Fantasy|Teaser|Chadwick Boseman|Danai Gurira|Lupita Nyong'o|Michael B. Jordan|Martin Freeman|Daniel Kaluuya|Angela Bassett|Andy Serkis|Sterling K. Brown|Isaach De Bankolé|Forest Whitaker,1 min 53 sec,"58,458",9-Jun-17,Ryan Coogler,Jack Kirby,Marvel Studios,16-Feb-18,Michael B. Jordan;Andy Serkis;Chadwick Boseman;Lupita Nyong'o,Legend Has It,Run the Jewels,,,,,,,,,,
3488,/death-wish/feature-trailer,3488,Annapurna Pictures|Action|Crime|Drama|Book|Bruce Willis|Elisabeth Shue|Metro Goldwyn Mayer (MGM)|Vincent D'Onofrio|Kimberly Elise|Dean Norris|Camila Morrone,2 min 29 sec,"35,679",3-Jan-18,Eli Roth,Joe Carnahan,MGM,2-Mar-18,Bruce Willis;Vincent D'Onofrio;Elisabeth Shue;Camila Morrone;Dean Norris,Rebels,Ohana Bam,,,,,,,,,,
