title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
Erin Brockovich,tt0195685,2000,http://www.imdb.com/title/tt0195685/,3/17/2000,USA,1,/erin-brockovich,Erin Brockovich,3/17/2000,Steven Soderbergh,Susannah Grant,"Julia Roberts,  David Brisbin,  Albert Finney",1
The Road to El Dorado,tt0138749,2000,http://www.imdb.com/title/tt0138749/,3/31/2000,USA,31,/the-road-to-el-dorado,The Road to El Dorado,3/31/2000,"Bibo Bergeron, Don Paul","Philip LaZebnik, Ted Elliott, Terry Rossio","Kevin Kline,  Kenneth Branagh,  Rosie Perez",1
Rules of Engagement,tt0160797,2000,http://www.imdb.com/title/tt0160797/,4/7/2000,USA,31,/rules-of-engagement,Rules of Engagement,4/7/2000,William Friedkin,"Jim Webb, Stephen Gaghan","Tommy Lee Jones,  Samuel L. Jackson,  Guy Pearce",1
American Psycho,tt0144084,2000,http://www.imdb.com/title/tt0144084/,4/14/2000,USA,31,/american-psycho,American Psycho,4/14/2000,Mary Harron,"Mary Harron, Bret Easton Ellis","Christian Bale,  Willem Dafoe,  Jared Leto",3
Frequency,tt0186151,2000,http://www.imdb.com/title/tt0186151/,4/28/2000,USA,1,/frequency,Frequency,4/28/2000,Gregory Hoblit,Toby Emmerich,"Dennis Quaid
James Caviezel
Andre Braugher
Elizabeth Mitchell
Noah Emmerich
Shawn Doyle",1
Gladiator,tt0172495,2000,http://www.imdb.com/title/tt0172495/,5/5/2000,USA,1,/gladiator,Gladiator,5/5/2000,Ridley Scott,David Franzoni,"Russell Crowe,  Joaquin Phoenix,  Connie Nielsen",1
Battlefield Earth,tt0185183,2000,http://www.imdb.com/title/tt0185183/,5/12/2000,USA,31,/battlefield-earth,Battlefield Earth,5/12/2000,Roger Christian,"Corey Mandell, J.D. Shapiro, L. Ron Hubbard","John Travolta,  Forest Whitaker,  Barry Pepper",1
Held Up,tt0165831,2000,http://www.imdb.com/title/tt0165831/,5/12/2000,USA,31,/held-up,Held Up,5/12/2000,Steve Rash,"Jeff Eastin, Erik Fleming","Jamie Foxx,  Nia Long,  Barry Corbin",1
Dinosaur,tt0130623,2000,http://www.imdb.com/title/tt0130623/,5/19/2000,USA,8,/dinosaur,Dinosaur,5/19/2000,"Eric Leighton, Ralph Zondag","Walon Green, Thom Enriquez","D.B. Sweeney,  ALfre Woodard,  Ossie Davis",1
Road Trip,tt0215129,2000,http://www.imdb.com/title/tt0215129/,5/19/2000,USA,31,/road-trip,Road Trip,5/19/2000,Todd Phillips,"Todd Phillips, Scott Armstrong","Breckin Meyer,  Seann William Scott,  Amy Smart",1
Fantasia/2000,tt0120910,2000,http://www.imdb.com/title/tt0120910/,6/16/2000,USA,3,/fantasia-2000,Fantasia 2000,12/31/1999,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt","Elena Driskill, Hans Christian Andersen, Brenda Chapman, Carl Fallberg, Joe Grant, Irene Mecchi, Perce Pearce, David Reynolds","Leopold Stokowski,  Ralph Grierson,  Kathleen Battle",1
Chicken Run,tt0120630,2000,http://www.imdb.com/title/tt0120630/,6/23/2000,USA,31,/chicken-run,Chicken Run,6/21/2000,"Peter Lord, Nick Park","Peter Lord, Nick Park","Mel Gibson,  Julia Sawalha,  Miranda Richardson",1
The Patriot,tt0187393,2000,http://www.imdb.com/title/tt0187393/,6/28/2000,USA,4,/the-patriot,The Patriot,6/30/2000,Roland Emmerich,Robert Rodat,"Mel Gibson,  Heath Ledger,  Jason Isaacs",2
The Adventures of Rocky & Bullwinkle,tt0131704,2000,http://www.imdb.com/title/tt0131704/,6/30/2000,USA,31,/the-adventures-of-rocky-and-bullwinkle,The Adventures of Rocky & Bullwinkle,6/30/2000,Des McAnuff,"Jay Ward, Kenneth Lonergan","Rene Russo,  Jason Alexander,  Piper Perabo",1
X-Men,tt0120903,2000,http://www.imdb.com/title/tt0120903/,7/14/2000,USA,30,/xmen,X-Men,36721,Bryan Singer,"David Hayter, Tom DeSanto, Bryan Singer, Stan Lee, Jack Kirby","Hugh Jackman,  Patrick Stewart,  Ian McKellen",2
Loser,tt0217630,2000,http://www.imdb.com/title/tt0217630/,7/21/2000,USA,6,/loser,Loser,7/21/2000,Amy Heckerling,Amy Heckerling,"Jason Biggs,  Mena Suvari,  Greg Kinnear",1
But I'm a Cheerleader,tt0179116,2000,http://www.imdb.com/title/tt0179116/,8/11/2000,USA,23,/but-im-a-cheerleader,But I'm a Cheerleader,8/11/2000,Jamie Babbit,"Brian Wayne Peterson, Jamie Babbit","Natasha Lyonne,  Clea DuVall,  Douglas Spain",1
The Art of War,tt0160009,2000,http://www.imdb.com/title/tt0160009/,8/25/2000,USA,31,/the-art-of-war,The Art of War,8/25/2000,Christian Duguay,"Wayne Beach, Simon Barry","Wesley Snipes,  Anne Archer,  Maury Chaykin",2
Whipped,tt0174336,2000,http://www.imdb.com/title/tt0174336/,9/1/2000,USA,1,/whipped,Whipped,9/1/2000,Peter M. Cohen,Peter M. Cohen,"Amanda Peet,  Brian Van Holt,  Zorie Barber",1
The Way of the Gun,tt0202677,2000,http://www.imdb.com/title/tt0202677/,9/8/2000,USA,31,/the-way-of-the-gun,The Way of the Gun,9/8/2000,Christopher McQuarrie,Christopher McQuarrie,"Benicio del Toro,  Ryan Phillippe,  James Caan",1
Duets,tt0134630,2000,http://www.imdb.com/title/tt0134630/,9/15/2000,USA,1,/duets,Duets,9/9/2000,Bruce Paltrow,John Byrum,"Gwyneth Paltrow,  Huey Lewis,  Paul Giamatti",1
Almost Famous,tt0181875,2000,http://www.imdb.com/title/tt0181875/,9/22/2000,USA,25,/almost-famous,Almost Famous,9/13/2000,Cameron Crowe,Cameron Crowe,"Patrick Fugit,  Billy Crudup,  Kate Hudson",1
Urban Legends: Final Cut,tt0192731,2000,http://www.imdb.com/title/tt0192731/,9/22/2000,USA,31,/urban-legends-final-cut,Urban Legends: Final Cut,9/22/2000,John Ottman,"Paul Harris Boardman, Scott Derrickson","Jennifer Morrison,  Matthew Davis,  Hart Bochner",1
Meet the Parents,tt0212338,2000,http://www.imdb.com/title/tt0212338/,10/6/2000,USA,25,/meet-the-parents,Meet the Parents,10/6/2000,Jay Roach,"Greg Glienna, Mary Ruth Clarke","Robert De Niro,  Ben Stiller,  Teri Polo",2
Dr. T and the Women,tt0205271,2000,http://www.imdb.com/title/tt0205271/,10/13/2000,USA,30,/dr-t-and-the-women,Dr T and the Women,10/13/2000,Robert Altman,Anne Rapp,"Richard Gere,  Helen Hunt,  Farrah Fawcett",1
Charlie's Angels,tt0160127,2000,http://www.imdb.com/title/tt0160127/,11/3/2000,USA,30,/charlies-angels,Charlie's Angels,11/3/2000,McG,"Ivan Goff, Ben Roberts, Ryan Rowe, Ed Solomon, John August","Cameron Diaz,  Drew Barrymore,  Lucy Liu",3
The Legend of Bagger Vance,tt0146984,2000,http://www.imdb.com/title/tt0146984/,11/3/2000,USA,31,/legend-of-bagger-vance,The Legend of Bagger Vance,11/3/2000,Robert Redford,"Steven Pressfield, Jeremy Leven","Will Smith,  Matt Damon,  Charlize Theron",1
Billy Elliot,tt0249462,2000,http://www.imdb.com/title/tt0249462/,11/10/2000,USA,16,/billy-elliot,Billy Elliot,9/29/2000,Stephen Daldry,Lee Hall,"Jamie Bell,  Julie Walters,  Gary Lewis",1
How the Grinch Stole Christmas,tt0170016,2000,http://www.imdb.com/title/tt0170016/,11/17/2000,USA,31,/how-grinch-stole-christmas,How the Grinch Stole Christmas,11/17/2000,Ron Howard,"Jeffery Price, Peter S. Seaman","Jim Carrey,  Jeffrey Tambor,  Christine Baranski",1
102 Dalmatians,tt0211181,2000,http://www.imdb.com/title/tt0211181/,11/22/2000,USA,3,/102-dalmations,102 Dalmatians,11/22/2000,Kevin Lima,"Dodie Smith, Kristen Buckley, Brian Regan","Glenn Close,  Gérard Depardieu,  Ioan Gruffudd",1
Unbreakable,tt0217869,2000,http://www.imdb.com/title/tt0217869/,11/22/2000,USA,3,/unbreakable,Unbreakable,11/14/2000,M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis,  Samuel L. Jackson,  Robin Wright Penn",1
Dungeons & Dragons,tt0190374,2000,http://www.imdb.com/title/tt0190374/,12/8/2000,USA,5,/dungeons-dragons,Dungeons & Dragons,12/8/2000,Courtney Solomon,"Topper Lilien, Carroll Cartwright","Jeremy Irons,  Thora Birch,  Justin Whalin",1
"Dude, Where's My Car?",tt0242423,2000,http://www.imdb.com/title/tt0242423/,12/15/2000,USA,30,/dude-wheres-my-car,"Dude, Where's My Car?",12/15/2000,Danny Leiner,Philip Stark,"Ashton Kutcher,  Seann William Scott,  Jennifer Garner",1
Requiem for a Dream,tt0180093,2000,http://www.imdb.com/title/tt0180093/,12/15/2000,USA,31,/requiem-for-a-dream,Requiem for a Dream,10/6/2000,Darren Aronofsky,"Hubert Selby, Jr., Darren Aronofsky","Ellen Burstyn,  Jared Leto,  Jennifer Connelly",2
The Emperor's New Groove,tt0120917,2000,http://www.imdb.com/title/tt0120917/,12/15/2000,USA,30,/the-emperors-new-groove,The Emperor's New Groove,12/15/2000,Mark Dindal,"Chris Williams, Mark Dindal, David Reynolds, Stephen J. Anderson, Don Hall, John Norton, Roger Allers, Matthew Jacobs","David Spade,  John Goodman,  Eartha Kitt",1
Cast Away,tt0162222,2000,http://www.imdb.com/title/tt0162222/,12/22/2000,USA,31,/cast-away,Cast Away,12/7/2000,Robert Zemeckis,William Broyles Jr.,"Tom Hanks,  Helen Hunt,  Wilson the Volleyball",2
Miss Congeniality,tt0212346,2000,http://www.imdb.com/title/tt0212346/,12/22/2000,USA,31,/miss-congeniality,Miss Congeniality,12/14/2000,Donald Petrie,"Marc Lawrence, Katie Ford, Caryn Lucas","Sandra Bullock,  Benjamin Bratt,  Michael Caine",1
The Family Man,tt0218967,2000,http://www.imdb.com/title/tt0218967/,12/22/2000,USA,31,/the-family-man,The Family Man,12/22/2000,Brett Ratner,"David Diamond, David Weissman","Nicolas Cage,  Téa Leoni,  Don Cheadle",1
All the Pretty Horses,tt0149624,2000,http://www.imdb.com/title/tt0149624/,12/25/2000,USA,31,/all-the-pretty-horses,All the Pretty Horses,12/25/2000,Billy Bob Thornton,"Cormac McCarthy (novel), Ted Tally","Matt Damon,  Penélope Cruz,  Henry Thomas",1
Traffic,tt0181865,2001,http://www.imdb.com/title/tt0181865/,1/5/2001,USA,6,/traffic,Traffic,12/27/2000,Steven Soderbergh,"Simon Moore, Stephen Gaghan","Michael Douglas,  Benicio del Toro,  Don Cheadle",1
Save the Last Dance,tt0206275,2001,http://www.imdb.com/title/tt0206275/,1/12/2001,USA,31,/save-the-last-dance,Save the Last Dance,1/12/2001,Thomas Carter,"Duane Adler, Cheryl Edwards","Julia Stiles,  Sean Patrick Thomas,  Kerry Washington",1
Snatch.,tt0208092,2001,http://www.imdb.com/title/tt0208092/,1/19/2001,USA,1,/snatch,Snatch,9/1/2000,Guy Ritchie,Guy Ritchie,"Jason Statham,  Stephen Graham,  Brad Pitt",6
The Pledge,tt0237572,2001,http://www.imdb.com/title/tt0237572/,1/19/2001,USA,2,/the-pledge,The Pledge,1/19/2001,Sean Penn,"Friedrich Dürrenmatt, Jerzy Kromolowski","Jack Nicholson,  Patricia Clarkson,  Benicio del Toro",1
"O Brother, Where Art Thou?",tt0190590,2001,http://www.imdb.com/title/tt0190590/,2/2/2001,USA,31,/o-brother-where-art-thou,"O Brother, Where Art Thou?",12/22/2000,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","George Clooney,  John Turturro,  Tim Blake Nelson",1
Hannibal,tt0212985,2001,http://www.imdb.com/title/tt0212985/,2/9/2001,USA,3,/hannibal,Hannibal,2/9/2001,Ridley Scott,"David Mamet, Steven Zaillian","Anthony Hopkins,  Julianne Moore,  Gary Oldman",1
Saving Silverman,tt0239948,2001,http://www.imdb.com/title/tt0239948/,2/9/2001,USA,20,/saving-silverman,Saving Silverman,2/9/2001,Dennis Dugan,"Hank Nelken, Greg DePaul","Jason Biggs,  Steve Zahn,  Jack Black",2
Carman: The Champion,tt0262462,2001,http://www.imdb.com/title/tt0262462/,3/2/2001,USA,9,/carman-the-champion,Carman: The Champion,3/2/2001,Lee Stanley,"Lee Stanley, Carman, Tony Cinciripini, Tadd Callies","Carman,  Michael Nouri,  Patricia Manterola",1
15 Minutes,tt0179626,2001,http://www.imdb.com/title/tt0179626/,3/9/2001,USA,31,/15-minutes,15 Minutes,3/23/2001,John Herzfeld,John Herzfeld,"Robert De Niro,  Edward Burns,  Kelsey Grammer",1
Get Over It,tt0192071,2001,http://www.imdb.com/title/tt0192071/,3/9/2001,USA,31,/get-over-it,Get Over It,3/9/2001,Tommy O'Haver,R. Lee Fleming Jr.,"Kirsten Dunst,  Ben Foster,  Melissa Sagemiller",1
Enemy at the Gates,tt0215750,2001,http://www.imdb.com/title/tt0215750/,3/16/2001,USA,31,/enemy-at-the-gates,Enemy at the Gates,3/16/2001,Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud","Jude Law,  Ed Harris,  Joseph Fiennes",1
Say It Isn't So,tt0239949,2001,http://www.imdb.com/title/tt0239949/,3/23/2001,USA,30,/say-it-isnt-so,Say It Isn't So,3/23/2001,J.B. Rogers,"Peter Gaulke, Gerry Swallow","Chris Klein,  Heather Graham,  Orlando Jones",1
Someone Like You...,tt0244970,2001,http://www.imdb.com/title/tt0244970/,3/30/2001,USA,31,/someone-like-you,Someone Like You...,3/30/2001,Tony Goldwyn,"Laura Zigman, Elizabeth Chandler","Ashley Judd,  Greg Kinnear,  Hugh Jackman",1
The Tailor of Panama,tt0236784,2001,http://www.imdb.com/title/tt0236784/,3/30/2001,USA,31,/the-tailor-of-panama,The Tailor of Panama,3/30/2001,John Boorman,"John le Carré, Andrew Davies, John Boorman","Pierce Brosnan,  Geoffrey Rush,  Jamie Lee Curtis",2
Tomcats,tt0246989,2001,http://www.imdb.com/title/tt0246989/,3/30/2001,USA,1,/tomcats,Tomcats,3/30/2001,Gregory Poirier,Gregory Poirier,"Jerry O'Connell,  Shannon Elizabeth,  Jake Busey",1
Josie and the Pussycats,tt0236348,2001,http://www.imdb.com/title/tt0236348/,4/11/2001,USA,31,/josie-and-the-pussycats,Josie and the Pussycats,4/11/2001,"Harry Elfont, Deborah Kaplan","Deborah Kaplan, Harry Elfont","Rachael Leigh Cook,  Tara Reid,  Rosario Dawson",1
Kingdom Come,tt0246002,2001,http://www.imdb.com/title/tt0246002/,4/11/2001,USA,32,/kingdom-come,Kingdom Come,4/11/2001,Doug McHenry,"David Dean Bottrell, Jessie Jones","LL Cool J,  Jada Pinkett Smith,  Vivica A. Fox",1
Bridget Jones's Diary,tt0243155,2001,http://www.imdb.com/title/tt0243155/,4/13/2001,USA,30,/bridget-jones-diary,Bridget Jones's Diary,4/4/2001,Sharon Maguire,"Helen Fielding, Andrew Davies, Richard Curtis","Renée Zellweger,  Hugh Grant,  Colin Firth",1
Town & Country,tt0141907,2001,http://www.imdb.com/title/tt0141907/,4/27/2001,USA,31,/town-and-country,Town & Country,4/27/2001,Peter Chelsom,"Michael Laughlin, Buck Henry","Warren Beatty,  Diane Keaton,  Nastassja Kinski",1
The Mummy Returns,tt0209163,2001,http://www.imdb.com/title/tt0209163/,5/4/2001,USA,15,/the-mummy-returns,The Mummy Returns,5/4/2001,Stephen Sommers,Stephen Sommers,"Brendan Fraser,  Rachel Weisz,  Patricia Velazquez",1
Shrek,tt0126029,2001,http://www.imdb.com/title/tt0126029/,5/18/2001,USA,4,/shrek,Shrek,4/22/2001,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman","Mike Myers,  Eddie Murphy,  Cameron Diaz",13
Memento,tt0209144,2001,http://www.imdb.com/title/tt0209144/,5/25/2001,USA,1,/memento,Memento,3/16/2001,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Guy Pearce,  Carrie-Anne Moss,  Joe Pantoliano",2
Moulin Rouge!,tt0203009,2001,http://www.imdb.com/title/tt0203009/,6/1/2001,USA,3,/moulin-rouge,Moulin Rouge!,6/1/2001,Baz Luhrmann,"Baz Luhrmann, Craig Pearce","Ewan McGregor,  Nicole Kidman,  Jim Broadbent",2
Swordfish,tt0244244,2001,http://www.imdb.com/title/tt0244244/,6/8/2001,USA,1,/swordfish,Swordfish,6/4/2001,Dominic Sena,Skip Woods,"John Travolta,  Hugh Jackman,  Halle Berry",1
Atlantis: The Lost Empire,tt0230011,2001,http://www.imdb.com/title/tt0230011/,6/15/2001,USA,31,/atlantis-the-lost-empire,Atlantis: The Lost Empire,6/15/2001,"Gary Trousdale, Kirk Wise","Tab Murphy, Gary Trousdale, Kirk Wise, Bryce Zabel, Jackie Zabel, Joss Whedon","Michael J. Fox,  James Garner,  Cree Summer",1
A.I. Artificial Intelligence,tt0212720,2001,http://www.imdb.com/title/tt0212720/,6/29/2001,USA,5,/ai-artificial-intelligence,A.I. Artificial Intelligence,6/29/2001,Steven Spielberg,"Brian Aldiss, Ian Watson, Steven Spielberg","Haley Joel Osment,  Frances O'Connor,  Jude Law",4
Crazy/Beautiful,tt0250224,2001,http://www.imdb.com/title/tt0250224/,6/29/2001,USA,31,/crazy-beautiful,Crazy/Beautiful,6/29/2001,John Stockwell,"Phil Hay, Matt Manfredi","Kirsten Dunst,  Jay Hernandez,  Bruce Davison",1
The Anniversary Party,tt0254099,2001,http://www.imdb.com/title/tt0254099/,6/29/2001,USA,31,/the-anniversary-party,The Anniversary Party,6/24/2001,"Alan Cumming, Jennifer Jason Leigh","Alan Cumming, Jennifer Jason Leigh","Alan Cumming,  Jennifer Jason Leigh,  Otis",1
Cats & Dogs,tt0239395,2001,http://www.imdb.com/title/tt0239395/,7/4/2001,USA,31,/cats-dogs,Cats & Dogs,6/23/2001,Lawrence Guterman,"John Requa, Glenn Ficarra","Tobey Maguire,  Alec Baldwin,  Jeff Goldblum",2
Scary Movie 2,tt0257106,2001,http://www.imdb.com/title/tt0257106/,7/4/2001,USA,31,/scary-movie-2,Scary Movie 2,7/4/2001,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Buddy Johnson, Phil Beauman, Jason Friedberg, Aaron Seltzer, Alyson Fouse, Greg Grabianski, Dave Polsky, Michael Anthony Snowden, Craig Wayans","Anna Faris,  Marlon Wayans,  Anthony Acker",1
Legally Blonde,tt0250494,2001,http://www.imdb.com/title/tt0250494/,7/13/2001,USA,5,/legally-blonde,Legally Blonde,7/13/2001,Robert Luketic,"Amanda Brown (novel), Karen McCullah","Reese Witherspoon,  Luke Wilson,  Selma Blair",1
The Score,tt0227445,2001,http://www.imdb.com/title/tt0227445/,7/13/2001,USA,7,/the-score,The Score,7/13/2001,Frank Oz,"Daniel E. Taylor, Kario Salem, Lem Dobbs, Scott Marshall Smith","Robert De Niro,  Edward Norton,  Marlon Brando",1
Jurassic Park III,tt0163025,2001,http://www.imdb.com/title/tt0163025/,7/18/2001,USA,31,/jurassic-park-iii,Jurassic Park III,7/18/2001,Joe Johnston,"Alexander Payne, Peter Buchman, Jim Taylor","Sam Neill,  William H. Macy,  Tea Leoni",4
America's Sweethearts,tt0265029,2001,http://www.imdb.com/title/tt0265029/,7/20/2001,USA,30,/americas-sweethearts,America's Sweethearts,7/20/2001,Joe Roth,"Billy Crystal, Peter Tolan","Julia Roberts,  Billy Crystal,  Catherine Zeta-Jones",1
The Princess Diaries,tt0247638,2001,http://www.imdb.com/title/tt0247638/,8/3/2001,USA,31,/the-princess-diaries,The Princess Diaries,8/3/2001,Gary Marshall,"Meg Cabot, Gina Wendkos","Anne Hathaway,  Julie Andrews,  Mandy Moore",2
The Others,tt0230600,2001,http://www.imdb.com/title/tt0230600/,8/10/2001,USA,8,/the-others,The Others,8/10/2001,Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman,  Christopher Eccleston,  Fionnula Flanagan",1
American Outlaws,tt0244000,2001,http://www.imdb.com/title/tt0244000/,8/17/2001,USA,31,/american-outlaws,American Outlaws,8/17/2001,Les Mayfield,"Roderick Taylor, John Rogers","Colin Farrell,  Scott Caan,  Ali Larter",4
Captain Corelli's Mandolin,tt0238112,2001,http://www.imdb.com/title/tt0238112/,8/17/2001,USA,26,/captain-corellis-mandolin,Captain Corelli's Mandolin,8/17/2001,John Madden,"Shawn Slovo, Louis de Bernières","Nicolas Cage,  Penélope Cruz,  John Hurt",2
Bubble Boy,tt0258470,2001,http://www.imdb.com/title/tt0258470/,8/24/2001,USA,31,/buble-boy,Bubble Boy,8/24/2001,Blair Hayes,"Cinco Paul, Ken Daurio","Jake Gyllenhaal,  Swoosie Kurtz,  Marley Shelton",2
Jay and Silent Bob Strike Back,tt0261392,2001,http://www.imdb.com/title/tt0261392/,8/24/2001,USA,31,/jay-and-silent-bob-strike-back,Jay and Silent Bob Strike Back,8/24/2001,Kevin Smith,Kevin Smith,"Ben Affleck,  Eliza Dushku,  Shannon Elizabeth",2
Summer Catch,tt0234829,2001,http://www.imdb.com/title/tt0234829/,8/24/2001,USA,31,/summer-catch,Summer Catch,8/24/2001,Michael Tollin,"Kevin Falls, John Gatins","Freddie Prinze,  Jr.,  Jessica Biel",1
The Musketeer,tt0246544,2001,http://www.imdb.com/title/tt0246544/,9/7/2001,USA,1,/the-musketeer-2001,The Musketeer,9/7/2001,Peter Hyams,"Alexandre Dumas père, Gene Quintano","Catherine Deneuve,  Mena Suvari,  Stephen Rea",1
Don't Say a Word,tt0260866,2001,http://www.imdb.com/title/tt0260866/,9/28/2001,USA,30,/dont-say-a-word,Don't Say a Word,9/28/2001,Gary Fleder,"Patrick Smith Kelly, Anthony Peckham","Michael Douglas,  Sean Bean,  Brittany Murphy",1
Zoolander,tt0196229,2001,http://www.imdb.com/title/tt0196229/,9/28/2001,USA,2,/zoolander,Zoolander,9/28/2001,Ben Stiller,"Drake Sather, Ben Stiller, John Hamburg","Ben Stiller,  Owen Wilson,  Will Ferrell",5
Corky Romano,tt0250310,2001,http://www.imdb.com/title/tt0250310/,10/12/2001,USA,1,/corky-romano,Corky Romano,10/12/2001,Rob Pritts,"David Garrett, Jason Ward","Chris Kattan,  Vinessa Shaw,  Peter Berg",1
From Hell,tt0120681,2001,http://www.imdb.com/title/tt0120681/,10/19/2001,USA,31,/from-hell,From Hell,10/19/2001,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell, Terry Hayes, Rafael Yglesias","Johnny Depp,  Heather Graham,  Ian Holm",1
Mulholland Dr.,tt0166924,2001,http://www.imdb.com/title/tt0166924/,10/19/2001,USA,22,/mulholland-dr,Mulholland Dr.,10/19/2001,David Lynch,David Lynch,"Naomi Watts,  Jeanne Bates,  Dan Birnbaum",1
K-PAX,tt0272152,2001,http://www.imdb.com/title/tt0272152/,10/26/2001,USA,2,/k-pax,K-Pax,10/26/2001,Iain Softley,"Gene Brewer, Charles Leavitt","Kevin Spacey,  Jeff Bridges,  Mary McCormack",1
"Monsters, Inc.",tt0198781,2001,http://www.imdb.com/title/tt0198781/,11/2/2001,USA,31,/monsters-inc,"Monsters, Inc.",11/2/2001,"Peter Docter, Lee Unkrich, David Silverman","Jill Culton, Peter Docter, Ralph Eggleston, Jeff Pidgeon, Andrew Stanton, Daniel Gerson, Robert L. Baird, Rhett Reese, Jonathan Roberts","John Goodman,  Billy Crystal,  Mary Gibbs",18
The One,tt0267804,2001,http://www.imdb.com/title/tt0267804/,11/2/2001,USA,32,/the-one-2001,The One,11/2/2001,James Wong,"Glen Morgan, James Wong","Jet Li,  Delroy Lindo,  Jason Statham",1
Shallow Hal,tt0256380,2001,http://www.imdb.com/title/tt0256380/,11/9/2001,USA,4,/shallow-hal,Shallow Hal,11/9/2001,"Peter Farrelly, Robert Farrelly","Peter Farrelly, Robert Farrelly","Jack Black,  Gwyneth Paltrow,  Jason Alexander",2
The Wash,tt0290332,2001,http://www.imdb.com/title/tt0290332/,11/14/2001,USA,4,/the-wash,The Wash,11/14/2001,DJ Pooh,DJ Pooh,"Dr. Dre,  Snoop Dogg,  George Wallace",1
Harry Potter and the Sorcerer's Stone,tt0241527,2001,http://www.imdb.com/title/tt0241527/,11/16/2001,USA,30,/harry-potter-sorcerers-stone,Harry Potter and the Sorcerer's Stone,11/16/2001,Chris Columbus,Steven Kloves,"Daniel Radcliffe,  Emma Watson,  Rupert Grint",3
