tmdb_id,imdb_id,title,year,
11005,tt0099077,Awakenings,1991,
1919,tt0491747,Away from Her,2007,
19255,tt1176740,Away We Go,2009,
18423,tt0118663,B.A.P.S.,1997,
36616,tt0103783,Bébé's Kids,1992,
9598,tt0112431,Babe,1995,
9447,tt0120595,Babe: Pig in the City,1998,
1164,tt0449467,Babel,2006,
16161,tt0255819,Baby Boy,2001,
22345,tt0118665,Baby Geniuses,1999,
8780,tt0871426,Baby Mama,2008,
11212,tt0109190,Baby's Day Out,1994,
9381,tt0364970,Babylon A.D.,2008,
196,tt0099088,Back to the Future Part III,1990,
12635,tt0106339,Backbeat,1994,
